slot_id,page_path,usage,slot_key,anchor_text,anchor_selector,anchor_index,insertion_mode,priority_level,recommended_size,aspect_ratio
8779096484a8,src/content/blog/how-long-do-smoke-detectors-last.md,hero,hero-1,How Long Do Smoke Detectors Last? 7-Year vs 10-Year Alarms Explained,"h1:contains(\""How Long Do Smoke Detectors Last? 7-Year vs 10-Year Alarms Explained\"")",1,hero-container,CRITICAL,1600x900,16:9
8152d216cac4,src/content/blog/how-long-do-smoke-detectors-last.md,inline,inline-1,7-year vs 10-year models: what is actually different,"h2:contains(\""7-year vs 10-year models: what is actually different\"")",1,after-heading,IMPORTANT,1600x900,16:9
3b9c80916c48,src/content/blog/how-long-do-smoke-detectors-last.md,inline,inline-2,How to find the manufacture date on your alarm,"h2:contains(\""How to find the manufacture date on your alarm\"")",1,after-heading,IMPORTANT,1200x900,4:3
50d1aaab6385,src/content/blog/how-long-do-smoke-detectors-last.md,inline,inline-3,End-of-life signals vs low-battery chirps,"h2:contains(\""End-of-life signals vs low-battery chirps\"")",1,after-heading,IMPORTANT,1600x900,16:9
af37b3edb85c,src/content/blog/how-long-do-smoke-detectors-last.md,inline,inline-4,"Safe, simple replacement checklist","h2:contains(\""Safe, simple replacement checklist\"")",1,after-heading,IMPORTANT,1200x900,4:3
b15c5925bac5,src/content/blog/when-to-replace-a-carbon-monoxide-detector.md,hero,hero-1,"When to Replace a Carbon Monoxide Detector (Signs, Age Limits, and Safety Rules)","h1:contains(\""When to Replace a Carbon Monoxide Detector (Signs, Age Limits, and Safety Rules)\"")",1,hero-container,CRITICAL,1600x900,16:9
33d33babb0df,src/content/blog/when-to-replace-a-carbon-monoxide-detector.md,inline,inline-1,How to check your detector age,"h2:contains(\""How to check your detector age\"")",1,after-heading,IMPORTANT,1200x900,4:3
ad3841db3f85,src/content/blog/when-to-replace-a-carbon-monoxide-detector.md,inline,inline-2,Common warning signs that replacement is due,"h2:contains(\""Common warning signs that replacement is due\"")",1,after-heading,IMPORTANT,1600x900,16:9
f1792be3293e,src/content/blog/when-to-replace-a-carbon-monoxide-detector.md,inline,inline-3,"Differences between plug-in, battery, and combo units","h2:contains(\""Differences between plug-in, battery, and combo units\"")",1,after-heading,IMPORTANT,1600x900,16:9
490dde8846ee,src/content/blog/when-to-replace-a-carbon-monoxide-detector.md,inline,inline-4,Replacement steps that reduce false alarms,"h2:contains(\""Replacement steps that reduce false alarms\"")",1,after-heading,IMPORTANT,1200x900,4:3
fc43bc319eb1,src/content/blog/smoke-alarm-end-of-life-beeps.md,hero,hero-1,Smoke Alarm End-of-Life Beeps: What They Sound Like and What to Do Next,"h1:contains(\""Smoke Alarm End-of-Life Beeps: What They Sound Like and What to Do Next\"")",1,hero-container,CRITICAL,1600x900,16:9
3900cf1f285e,src/content/blog/smoke-alarm-end-of-life-beeps.md,inline,inline-1,What end-of-life beeps usually sound like,"h2:contains(\""What end-of-life beeps usually sound like\"")",1,after-heading,IMPORTANT,1600x900,16:9
97082e7d33d6,src/content/blog/smoke-alarm-end-of-life-beeps.md,inline,inline-2,How to check the manufacture date quickly,"h2:contains(\""How to check the manufacture date quickly\"")",1,after-heading,IMPORTANT,1200x900,4:3
9da90c9225c8,src/content/blog/smoke-alarm-end-of-life-beeps.md,inline,inline-3,How end-of-life beeps differ from low-battery chirps,"h2:contains(\""How end-of-life beeps differ from low-battery chirps\"")",1,after-heading,IMPORTANT,1600x900,16:9
bfac1f450e72,src/content/blog/smoke-alarm-end-of-life-beeps.md,inline,inline-4,Quick verification checklist,"h2:contains(\""Quick verification checklist\"")",1,after-heading,IMPORTANT,1200x900,4:3
3d8b242f50b8,src/content/blog/smoke-alarm-end-of-life-beeps.md,inline,inline-5,What to do next: replacement-first steps,"h2:contains(\""What to do next: replacement-first steps\"")",1,after-heading,IMPORTANT,1200x900,4:3
